,user_id,movie_id,rating
41337,591,367,3
94362,926,292,3
95747,878,451,2
56421,393,939,4
67883,395,286,4
40178,452,404,4
10080,65,526,4
27260,145,761,4
3477,83,476,3
91961,659,482,4
37094,552,455,3
3909,1,177,5
19946,102,577,3
95567,106,59,4
40812,536,596,3
58459,535,79,3
23583,104,126,4
99594,537,25,2
36197,501,293,4
74572,297,357,4
57029,772,307,4
1428,59,54,4
71994,615,135,4
16201,241,313,4
75363,757,895,4
72399,823,531,4
74764,774,545,1
46870,727,367,3
85917,701,326,4
70022,363,239,3
54363,693,660,3
61137,664,162,4
97193,454,527,4
67513,846,387,3
38136,534,322,4
99353,883,582,3
76788,453,575,2
90432,846,802,2
56441,435,1,5
14666,122,736,4
18302,92,28,3
67362,940,66,4
50349,600,515,5
95208,922,214,2
83899,303,7,4
23659,165,15,5
84319,173,881,3
46270,566,240,3
12063,393,142,4
5922,21,591,3
99502,802,333,4
28545,504,96,4
74166,835,423,4
90857,705,117,5
36616,345,378,4
57149,772,678,4
72165,846,575,2
83436,932,196,4
11063,210,243,2
72226,889,29,3
62647,506,1407,2
1940,191,754,3
60639,781,223,4
2506,296,48,5
153,269,504,4
27299,291,563,3
54968,416,729,5
6672,303,194,5
29122,271,441,3
78419,901,521,2
62953,311,210,5
50491,405,566,1
4101,172,603,3
12114,47,302,5
30311,188,553,4
54622,548,1013,3
9555,311,402,4
89323,479,338,1
69211,660,328,3
95395,442,742,3
25561,405,560,1
32787,53,1087,4
29603,308,842,3
86362,701,269,5
64199,430,148,2
43186,314,655,4
51826,697,222,4
19480,392,872,4
24165,405,66,5
96731,639,60,3
89082,932,191,4
60698,618,187,5
33668,458,596,4
98003,497,265,4
63327,863,242,4
87603,833,223,4
60930,452,195,4
22768,280,56,5
27378,293,433,3
75960,731,527,5
91291,942,750,4
53554,267,81,4
6196,33,328,4
19028,332,684,5
38235,455,87,3
42028,645,434,4
91536,936,1335,4
96206,716,135,3
11248,271,58,3
60460,392,313,5
44229,479,281,3
11825,25,969,3
29890,498,171,3
25445,11,508,4
92259,244,383,3
25563,113,424,1
6870,145,637,3
8773,279,4,4
70217,788,187,4
29952,56,88,1
60730,697,286,4
96336,910,310,3
70482,707,747,3
18309,214,246,2
15774,289,926,3
88740,934,1311,1
24715,166,294,3
51710,327,732,1
19959,384,748,4
76734,847,1012,1
98183,450,399,4
68916,329,186,3
32617,497,381,3
40558,460,250,2
94247,899,318,4
16912,361,531,5
75719,881,395,3
79720,940,521,4
44102,72,466,4
64240,458,238,4
62935,846,46,4
69900,806,461,4
72855,259,294,3
55994,721,875,3
24332,474,257,3
71826,416,72,2
82574,870,425,4
21194,198,173,4
80637,880,456,3
91886,189,297,3
22688,379,12,5
96057,679,290,2
76549,503,224,3
34714,588,1047,3
24319,450,582,4
55556,488,69,4
61985,884,269,5
76671,608,306,4
42015,328,65,4
61855,883,867,5
60923,537,896,3
21463,396,595,3
45960,684,186,4
96628,64,503,4
40432,642,1181,2
62887,757,156,3
84539,749,1136,4
85600,763,194,5
42519,308,603,5
9600,276,941,3
50828,761,294,3
45841,669,523,4
94569,648,441,3
30272,450,474,5
49731,286,17,4
96210,868,80,2
34433,524,289,4
39664,312,207,5
86871,840,414,4
88962,413,321,3
38652,318,403,2
23023,406,453,2
20788,233,584,4
77894,625,176,4
86232,886,12,5
77365,622,506,3
64496,828,52,3
47357,604,164,4
80264,938,1028,5
95601,493,262,3
32582,479,879,4
47719,458,134,5
2121,244,409,4
82283,576,124,4
47773,589,243,3
29070,219,71,1
3381,64,515,5
89096,412,195,4
15482,301,419,3
6308,116,840,1
32803,62,1132,2
19956,290,515,3
49405,538,28,3
64782,565,1622,4
9082,243,582,5
73441,514,12,5
56248,756,1009,4
61349,537,15,3
60596,851,192,4
9397,173,260,4
30735,508,115,3
40525,562,66,1
80835,96,514,4
95795,551,4,2
30974,305,70,4
55482,387,186,2
42598,682,68,5
14823,323,215,5
12891,276,145,3
80893,421,525,4
27981,38,188,2
84925,650,211,4
64612,912,1041,4
24166,128,121,4
87151,749,202,5
90368,632,203,3
2534,234,618,3
49222,223,1088,4
40880,523,194,5
32635,251,147,3
48945,472,895,4
53021,654,276,1
75297,429,789,4
10638,323,467,5
75710,707,279,3
14539,332,866,2
72027,932,1573,4
55032,457,841,4
58827,653,941,1
59640,661,189,4
24904,409,210,4
84527,871,310,3
26847,378,404,4
54384,634,125,4
16402,36,310,4
59771,620,769,4
60643,804,363,4
94259,617,559,1
2582,287,249,5
21459,10,162,4
93107,864,394,3
41731,661,118,4
87393,823,588,3
82469,813,271,4
67346,503,463,1
45372,25,495,4
80992,239,509,5
58233,786,161,4
5068,231,126,5
17598,166,748,2
46766,645,203,4
3672,6,95,2
69603,709,172,5
76078,795,89,4
12587,392,492,4
56546,520,100,4
10728,363,555,1
49217,676,1654,1
55198,682,238,3
36120,592,147,4
16130,296,45,5
29372,327,865,5
24677,13,686,5
38479,271,648,4
69129,711,134,5
76894,716,605,3
94819,682,209,3
11733,148,116,5
71094,727,413,2
59263,770,288,4
51545,207,1331,3
31317,497,407,2
61064,835,673,4
24215,383,268,5
58348,443,313,4
89418,907,19,5
64076,851,258,4
61539,820,748,1
76597,805,337,2
17459,373,651,4
37871,474,83,3
68873,832,258,3
33243,532,818,2
61882,378,1438,3
99735,691,496,5
74492,650,301,2
23957,18,153,4
9657,92,129,4
33861,592,336,1
8658,269,213,5
2840,13,480,3
14222,174,1312,4
92401,938,250,3
38761,18,627,3
77415,806,952,2
53596,201,183,4
22474,92,1040,3
16888,345,748,2
88945,360,175,3
71534,128,69,4
20753,221,64,5
88397,42,735,4
68986,838,405,4
20944,174,742,4
13891,194,188,4
82777,916,1208,2
84800,38,451,5
39657,121,83,4
76323,699,828,3
32596,561,109,1
59241,868,1031,1
29488,200,325,5
39766,487,28,4
43130,506,203,4
72351,889,190,3
63516,713,342,3
80515,727,1025,2
77143,407,67,1
50388,654,109,3
86020,500,557,3
84371,773,50,5
30060,90,1199,5
33338,7,595,2
97594,895,151,5
27964,246,216,3
99673,916,557,4
85738,160,832,1
5387,328,627,3
22097,78,301,5
52020,664,286,4
19113,416,301,5
88148,557,305,3
94651,756,588,4
86746,818,312,2
18367,452,25,2
54167,778,265,4
25943,59,642,5
67157,848,89,5
40193,346,144,4
63296,586,451,4
98167,455,523,4
37397,458,430,5
72759,500,443,4
56875,632,161,3
85401,758,362,5
80596,343,531,5
56413,562,79,4
16632,14,168,4
82726,930,126,5
1430,216,196,5
58761,94,504,5
39010,455,40,3
58606,216,673,4
69390,914,371,4
86943,872,476,4
34363,456,959,4
27023,497,152,2
44209,353,358,1
86501,521,216,2
97755,452,98,5
41822,595,762,4
40192,160,922,5
65234,897,928,5
70148,919,15,5
73961,416,302,5
1093,91,683,3
49973,750,331,4
86855,650,585,1
7505,269,316,4
62099,48,215,4
91680,910,597,3
96526,284,315,5
7835,249,628,3
8316,73,48,2
99355,523,949,5
22133,46,125,4
63180,862,433,4
82901,934,237,4
75774,910,125,3
66446,790,41,3
32190,113,237,3
28867,223,682,4
23015,378,117,3
26029,279,94,3
70532,756,245,3
55190,804,194,4
34504,237,659,4
99331,150,14,4
22119,374,151,3
30256,393,415,4
77760,936,475,5
30713,13,578,3
29775,334,1198,3
57862,798,367,3
17100,164,121,5
31639,573,192,4
45759,524,573,4
57356,184,488,5
87085,535,318,4
94694,804,229,4
95143,782,1589,3
24633,456,498,4
23500,284,262,4
51597,334,255,3
83697,804,55,4
11698,339,240,4
78801,184,276,4
54364,5,235,4
97831,683,683,3
17876,435,1217,3
66981,882,988,5
81679,405,1419,2
16307,424,261,3
48261,699,325,5
86333,7,509,5
30614,521,659,4
2986,79,246,5
2969,129,303,3
71286,902,250,4
48043,279,1488,4
7426,21,234,5
39143,653,402,1
89287,458,969,4
99057,665,742,4
14815,314,772,1
17326,244,866,5
44362,303,425,4
31185,542,56,5
27704,189,501,4
22567,35,261,3
17422,276,1220,4
59840,871,515,4
26823,338,443,5
97991,774,866,1
32256,489,260,3
97268,336,173,5
15225,45,21,3
71749,345,200,4
3064,307,71,5
29320,59,403,5
81271,11,213,4
43051,473,256,4
4400,305,210,3
98228,848,173,5
9682,365,287,4
49595,58,210,4
3960,334,603,5
95326,713,300,2
63791,379,381,5
62029,852,597,3
57060,543,509,3
71398,539,204,4
3307,239,605,4
56410,746,226,4
60538,706,288,3
95933,796,783,4
95831,653,708,2
41654,496,172,5
30645,474,194,5
16106,22,358,5
82286,770,250,5
21133,305,628,4
12101,255,405,4
83708,21,330,4
61042,682,467,3
37848,280,80,3
1546,195,328,4
83447,922,22,5
71965,717,888,5
69820,942,539,3
8871,332,7,4
12653,399,1543,3
8064,46,313,5
64927,593,546,3
36513,389,480,5
81093,416,1337,1
40566,472,7,5
60795,343,208,4
83675,936,325,5
28876,62,238,5
28082,532,348,4
34496,405,1078,1
48995,94,433,4
18420,399,1220,2
85690,46,286,5
40207,115,240,5
90017,919,875,1
48197,451,328,5
53516,469,286,5
56724,81,276,4
58525,390,13,2
1929,59,215,5
47892,707,995,4
3279,159,259,4
91008,239,1065,5
86414,682,280,3
35714,506,300,3
3448,10,463,4
92908,833,577,1
40415,65,179,3
17936,31,79,2
73853,703,123,4
85194,221,550,4
52335,672,225,2
32165,504,1439,4
88952,867,182,4
83442,843,561,4
36276,541,181,5
19244,7,653,4
41893,380,258,4
56345,801,307,4
72778,771,181,4
65085,908,192,2
30971,481,650,3
22308,259,475,5
69204,918,275,4
72869,903,281,4
25480,109,79,5
78766,524,23,5
38027,363,98,3
27046,299,962,4
78044,747,162,5
66637,334,307,3
98755,847,88,2
13244,334,845,2
4355,59,559,5
52060,499,520,3
43743,391,498,4
55202,758,742,4
3155,131,845,4
67104,942,200,4
92482,805,145,2
24826,387,217,3
15798,345,15,4
21841,373,1078,3
11636,373,204,5
38877,417,186,5
37485,512,302,4
40238,610,97,3
25376,417,774,4
42198,654,278,3
43709,618,423,5
74129,847,99,2
39668,456,346,5
34299,480,237,2
18089,329,288,2
7986,25,480,4
50471,463,310,3
2787,13,877,2
73459,933,451,1
89937,425,258,2
16670,313,441,3
76923,494,358,3
29332,157,289,4
43600,64,384,2
62462,891,546,3
44996,436,1048,2
84096,774,235,1
12016,62,213,4
46895,627,461,3
12262,331,811,4
738,293,423,3
9372,279,1133,2
47712,707,1171,3
3475,274,25,5
28874,293,1248,2
95455,846,487,4
97824,840,174,4
70514,610,505,4
60402,653,94,2
65669,901,8,3
19566,407,418,4
15437,405,451,5
4975,334,269,3
35712,504,699,4
64521,613,1315,4
15187,181,948,1
89582,460,9,3
27172,385,143,3
83105,870,640,3
33956,405,1031,1
94561,554,866,3
10875,223,25,1
31583,499,651,4
53246,334,172,3
16205,260,362,5
48344,500,72,4
94836,922,69,3
23662,442,342,2
65847,458,460,4
58463,786,240,1
94905,862,658,5
17939,314,1178,2
95875,903,302,4
4644,255,258,4
89914,33,288,4
56,87,384,4
83196,758,502,4
65027,902,318,5
49049,500,412,1
94103,843,62,4
40946,368,183,5
69199,796,89,5
45511,546,322,4
74253,592,196,5
89198,701,19,5
75102,709,423,3
16027,75,410,5
47231,532,346,5
43289,668,294,3
31288,10,137,4
483,214,568,4
7857,167,1126,5
65313,896,526,4
10977,57,411,4
73803,660,238,3
19846,63,255,4
77639,467,293,4
16388,94,550,1
50908,319,346,3
73192,642,318,2
5773,1,76,4
12031,335,269,4
99507,760,98,3
97843,916,1217,1
15574,95,232,4
27915,95,506,3
38432,617,134,3
75476,535,792,4
95454,58,584,5
40351,648,1244,3
78393,718,744,3
76723,666,546,4
14428,325,475,4
26947,86,888,4
84596,406,1170,4
73032,389,135,2
76635,454,942,2
73763,707,638,4
32060,58,640,5
58026,784,328,3
76454,62,72,3
31682,174,417,4
54104,668,323,4
76701,864,1412,1
46283,650,194,4
47077,386,273,3
96186,599,546,4
54229,144,54,2
22069,406,1021,5
80866,931,127,5
36138,373,1133,3
80301,830,79,4
81911,279,259,3
16094,360,13,3
77091,454,8,5
14441,412,218,3
65247,342,11,5
85307,87,1186,3
30726,249,471,4
95419,607,238,4
65893,882,526,4
69619,823,77,4
86707,636,15,5
43395,445,9,2
83325,695,264,1
87537,875,652,5
64280,807,140,3
15263,376,762,4
27773,504,288,5
30975,334,338,1
70207,417,185,3
3068,217,82,5
82940,916,417,2
9797,178,183,4
73957,925,299,3
23428,178,340,1
40491,655,205,3
34177,454,836,2
51621,234,605,3
96301,919,303,4
13860,116,65,2
29785,276,974,2
56506,180,469,5
68898,125,1271,2
17990,106,684,4
79020,72,215,4
69917,13,746,3
86419,771,169,5
47912,735,258,4
58397,738,174,5
20498,253,273,3
75022,495,67,3
61867,198,447,4
71803,621,568,5
66049,743,292,3
5456,268,123,3
73621,176,458,4
34120,422,201,4
26007,366,561,5
9161,92,376,3
99597,657,258,2
98108,910,286,3
41670,666,1170,4
99342,102,154,3
63080,682,274,4
1989,1,90,4
42362,588,172,5
30709,425,590,3
98326,601,198,4
37475,198,70,3
83537,41,173,4
53419,671,597,4
38427,450,4,3
53015,180,785,4
20044,59,756,2
10339,130,282,5
89756,699,206,3
63913,530,196,5
2912,207,508,4
10531,311,761,3
39383,621,1012,5
85739,840,503,4
84866,868,64,5
24416,378,924,3
1603,102,625,3
34387,485,321,3
45865,452,318,5
71493,618,403,4
44359,630,832,2
53755,805,17,4
90334,924,427,4
65938,90,505,5
73391,452,945,4
28013,189,855,3
9738,263,134,5
65784,703,118,5
72409,619,96,5
27803,451,1025,3
16599,362,288,4
84601,899,566,3
7478,221,257,4
86275,618,566,3
61452,617,615,3
58276,635,327,5
38503,625,428,5
71133,796,443,2
4455,130,572,3
67099,790,25,2
40542,532,292,4
7198,315,55,5
54583,709,860,3
99481,580,257,5
77593,790,405,3
36459,537,698,3
42274,459,969,3
47679,588,433,5
64059,830,202,5
53379,727,54,3
62923,447,227,2
62079,676,1483,4
36733,350,214,3
8404,174,196,5
16734,334,1006,3
90509,887,50,5
62198,609,877,5
74154,379,185,5
90756,6,237,2
85628,878,14,5
99140,561,417,2
73913,798,1469,3
5657,233,958,5
85316,796,1055,3
49306,608,487,4
77711,497,151,3
88908,352,210,3
44282,219,38,1
12155,48,427,4
54474,747,135,5
98473,890,190,4
18914,216,928,3
74271,871,908,3
29816,374,176,4
20009,461,50,3
27996,82,99,4
6253,64,222,4
1347,99,246,3
66743,130,257,4
51268,305,709,5
9004,59,1113,4
71957,40,343,1
75281,874,124,4
34704,138,56,5
40724,605,133,5
85710,508,228,5
11059,258,751,5
73953,487,720,4
49940,450,530,3
52721,617,1073,3
26041,406,641,5
31173,398,239,3
47211,526,328,2
95151,913,186,3
49470,244,1119,5
82443,619,391,3
7840,10,696,4
42369,528,484,3
53441,521,240,3
95380,799,191,3
74470,919,285,5
84418,653,54,3
40341,532,164,5
92297,843,357,2
1664,145,448,5
30329,92,425,4
36137,221,282,4
86567,393,66,3
26536,515,690,2
49672,303,132,5
72085,405,1551,1
423,151,197,5
95744,916,238,4
272,301,56,4
78469,505,358,3
14355,280,282,3
21831,270,26,5
12188,393,1469,3
45340,13,775,4
40296,282,268,4
89206,943,100,5
87929,806,302,4
54789,715,172,4
25646,450,101,5
69759,798,1411,1
31806,342,194,3
61535,863,352,1
55215,606,841,3
27794,123,657,4
82718,866,269,3
27002,436,159,4
92046,902,257,3
53424,541,91,5
41256,405,1072,1
94966,943,566,4
80134,437,15,4
45487,77,132,3
47218,450,51,4
44435,336,1183,1
9916,128,151,3
66329,913,260,1
86219,698,135,3
10008,293,720,1
68943,943,808,4
82208,940,173,4
70410,224,591,3
54408,210,451,3
5052,275,191,4
45316,347,405,4
63897,454,66,4
51271,401,748,3
95706,807,228,4
46160,634,274,3
19287,297,118,3
4643,59,1109,3
66547,887,235,3
52357,648,231,2
31514,264,202,5
73946,637,246,2
19885,295,648,4
46872,655,187,5
63089,883,882,4
97292,545,692,3
1967,6,357,4
69014,919,57,5
54557,303,144,5
42547,582,410,3
36659,532,879,3
82459,509,328,1
95746,919,340,5
12122,42,234,4
27749,130,939,4
74967,570,286,4
56772,712,421,4
58342,795,771,3
89564,779,125,4
52520,437,709,5
50965,560,496,3
74847,1,116,3
90455,450,1518,4
62778,411,276,3
73274,932,234,3
18673,445,123,1
82950,758,737,3
22986,387,1128,4
37003,561,436,4
70711,880,471,4
16357,435,240,3
65301,532,272,5
60142,144,248,4
6016,97,428,4
35893,526,676,5
70309,407,153,4
46317,495,416,5
30005,528,751,4
99875,887,274,1
7746,236,15,5
66752,843,21,2
13470,311,921,4
49776,51,172,5
24329,396,619,3
18272,267,168,4
72782,777,202,5
98918,70,94,3
46963,665,133,3
42552,257,313,5
87184,864,116,4
35799,417,173,5
74390,913,432,3
4671,311,720,3
11896,58,64,5
12528,37,363,3
43503,650,227,2
61279,826,1091,3
27867,519,1280,5
17379,257,405,3
22770,112,269,3
13695,224,1212,2
52014,504,291,4
21440,101,111,2
52508,318,712,4
8759,74,1084,3
72022,795,429,3
6245,303,410,4
73801,201,1398,4
27547,201,735,3
99089,727,1446,3
76164,738,189,4
34158,181,547,1
52065,666,662,3
58222,835,131,5
11602,270,714,4
28461,343,180,5
54920,642,723,4
70358,919,289,3
16362,343,62,2
47143,736,181,2
7820,293,228,3
38292,392,127,5
55334,372,98,5
12507,320,123,4
46581,49,428,5
1293,44,240,4
67266,828,1056,1
89484,875,707,4
40362,650,217,3
96446,192,287,4
72777,900,124,4
31586,495,507,4
64793,847,39,2
23931,450,1047,4
11970,250,948,3
86641,805,241,2
45603,642,412,2
53535,747,591,2
61668,804,639,4
54829,776,21,3
26219,229,311,5
68817,766,182,4
84929,279,1250,1
66433,522,521,5
14175,378,230,3
48937,501,342,4
97040,761,201,2
733,295,39,4
18729,104,713,3
4431,49,173,3
35032,90,464,5
15987,206,1313,1
1431,203,282,1
28849,382,504,3
71599,886,1208,3
50736,1,11,2
58907,480,294,1
35768,592,125,2
14507,234,451,3
48440,669,117,1
40472,643,117,3
25650,342,423,4
5895,55,144,5
77779,940,628,4
44164,595,151,5
15284,416,277,5
18162,365,742,3
67058,640,461,4
73497,275,229,3
21298,389,558,4
28167,454,735,2
48687,672,1028,4
43789,586,27,3
15805,145,212,2
44674,385,46,5
73924,690,202,2
43844,538,42,1
89994,796,778,4
55045,435,264,3
92737,705,161,5
24685,284,900,4
76081,764,56,4
51799,783,334,3
93470,627,435,5
58250,293,150,3
43597,476,168,5
28931,532,338,3
49416,468,372,2
7940,263,328,4
50497,638,186,5
41931,268,173,4
53300,738,172,4
73364,70,91,3
41072,291,282,4
81458,81,717,2
62787,45,111,4
82236,835,191,4
95974,751,323,1
44298,497,399,4
24880,409,60,5
23636,297,265,3
92720,475,303,1
41140,343,176,5
66273,932,7,4
60011,618,151,3
57676,201,855,4
37347,137,405,5
77834,476,451,3
61935,637,866,3
21156,425,678,1
65328,913,99,4
66604,745,205,2
29366,476,42,4
88489,452,76,4
68495,668,882,3
77783,934,56,5
38922,454,497,3
9235,194,366,2
88968,195,841,2
89365,934,153,5
98435,864,1208,2
74885,918,792,3
84700,679,42,4
34579,553,199,4
60487,445,79,4
42697,229,896,4
79899,503,66,3
38362,36,1026,5
70926,624,824,2
45502,628,300,5
82648,883,185,5
18195,268,198,4
50326,198,27,2
80465,875,55,3
30124,100,880,1
53135,758,128,4
29461,160,770,4
92261,429,462,4
3564,271,197,4
23990,477,280,4
70343,881,100,4
37237,590,276,4
27263,533,1177,1
74318,620,138,5
33903,561,616,3
60166,118,172,5
93039,416,124,4
74576,860,316,3
45156,246,672,4
37816,532,472,5
67408,690,435,5
85413,588,552,1
20622,252,14,4
13410,84,291,3
2792,235,419,5
24032,85,57,5
20273,452,27,5
88730,870,55,3
80198,886,591,3
75610,821,705,5
28271,110,325,3
96771,870,1044,2
54566,738,298,3
34227,493,191,4
89256,682,346,2
41143,639,51,2
52754,637,1,4
28273,23,780,1
76774,194,515,4
30048,125,585,4
4422,94,79,4
50025,188,1041,3
98685,854,1013,1
64335,870,559,2
93291,798,1509,3
71555,666,135,4
5143,303,716,2
31693,311,356,4
25507,354,202,3
67253,869,240,4
7070,363,673,2
1870,60,525,5
99411,733,291,2
70635,407,395,1
5816,298,498,5
50988,619,302,4
12953,20,95,3
61325,861,289,5
7925,105,258,5
92035,916,650,4
16538,434,1060,3
73984,926,288,3
17893,29,302,4
11571,249,245,2
24279,452,554,3
18627,323,875,3
25721,1,141,3
97266,864,189,4
84622,519,895,4
14009,379,294,3
55957,78,294,3
92853,932,755,2
73467,18,418,3
54682,806,3,2
68993,280,673,4
21951,249,273,4
84656,806,111,3
99133,943,1047,2
55136,53,50,4
71519,828,381,3
93139,825,370,3
41492,74,690,4
19410,361,173,5
8925,381,582,5
83146,679,109,3
14837,348,834,4
11730,387,566,3
7879,275,142,2
37452,149,325,2
4152,104,100,4
14773,279,489,2
29680,336,1011,2
72938,788,503,4
98973,293,28,3
20894,411,770,4
38738,94,191,5
35682,399,80,3
26334,441,9,4
71730,916,51,2
6432,178,193,4
40393,648,554,4
9794,380,132,4
83777,660,747,4
10719,339,514,3
15928,269,346,2
58995,621,270,4
98795,648,39,3
95155,798,168,4
30080,104,333,2
66782,533,216,4
38058,85,168,4
5098,70,265,4
61265,537,98,3
57030,597,678,1
65967,279,1030,4
3283,87,1183,3
1027,291,1178,4
29657,313,144,4
23276,405,552,1
87660,878,640,1
24719,399,1137,4
6349,21,569,3
76710,808,288,3
47760,115,980,4
24022,426,132,4
10759,76,197,5
25336,435,376,2
3008,323,117,3
40596,537,582,3
40682,373,1119,5
7961,336,202,1
37606,457,755,4
99705,847,120,1
45246,450,609,5
42574,642,1029,3
48971,314,731,4
51298,596,13,2
72896,730,873,2
11925,14,202,3
99890,838,313,5
10981,196,25,4
91428,795,17,2
57718,643,824,3
11276,186,225,4
50672,609,294,2
21515,446,269,4
50917,387,580,5
35491,575,173,5
15902,393,83,4
73143,846,505,5
58060,393,122,1
4193,201,558,2
86901,399,11,4
60423,334,707,4
780,85,51,2
1122,104,299,3
37885,312,531,5
84385,336,1118,4
94581,624,866,3
32808,415,269,4
59862,409,216,4
23712,44,135,5
33771,268,180,3
57838,109,168,3
55611,459,172,5
9214,276,1228,1
58506,587,323,4
18986,373,709,5
79363,802,573,4
58196,640,22,4
36566,516,50,5
67618,276,217,4
38794,595,291,3
30131,389,531,4
72741,230,233,1
96195,825,323,4
86088,648,186,5
37450,64,652,2
22589,354,275,4
8250,345,988,2
31656,536,584,5
42024,603,183,4
64168,11,748,1
41350,624,347,4
65991,655,1193,3
79295,166,687,1
25829,250,988,4
62059,710,268,4
10150,82,414,4
27523,200,982,2
45725,577,531,4
12828,348,472,4
94277,627,229,2
11247,102,298,3
75624,700,174,4
82041,588,307,4
15592,239,195,5
1806,151,317,5
29035,437,1075,4
27244,521,179,4
71360,894,381,3
15716,309,242,4
24923,497,575,3
31737,44,121,4
18392,429,133,3
54252,712,402,4
80982,715,176,5
31122,381,705,5
8928,279,195,4
44391,301,462,2
45761,642,1413,3
66556,881,943,4
34912,532,404,5
5181,343,55,3
62525,868,183,5
59945,821,118,3
56150,406,655,3
2576,81,824,3
54332,328,192,4
48710,399,289,4
13109,13,196,4
91791,877,222,2
1880,209,251,5
69236,151,385,3
71879,881,168,3
38916,639,659,3
78582,868,128,5
88427,506,135,5
54216,627,96,3
95137,933,410,3
51158,493,550,4
29514,295,417,5
37472,501,508,4
32840,385,236,2
